payment_id,order_id,payment_type,payment_value,payment_date
99,99,UPI,1168441.91,2025-03-10
100,100,Wallet,600526.05,2024-02-20
101,101,Wallet,614581.33,2025-02-14
102,102,UPI,499688.16,2025-06-18
103,103,UPI,506281.02,2025-05-02
104,104,Cash on Delivery,55877.53,2026-01-08
105,105,Net Banking,180291.72,2024-03-17
106,106,Net Banking,453941.51,2025-11-15
107,107,Debit Card,253103.0,2026-01-21
108,108,Debit Card,1063538.09,2024-03-09
109,109,UPI,197209.08,2024-05-23
110,110,Wallet,109378.76,2024-06-13
111,111,Credit Card,307403.01,2026-08-31
112,112,Net Banking,288211.59,2026-03-16
113,113,Credit Card,418376.26,2025-02-04
114,114,Net Banking,770553.08,2026-05-04
115,115,Debit Card,224374.77,2026-08-29
116,116,Wallet,991677.04,2025-02-15
117,117,Cash on Delivery,249803.29,2025-08-22
118,118,UPI,350508.57,2024-07-29
119,119,Debit Card,288805.2,2024-10-09
120,120,Wallet,241468.83,2025-10-14
121,121,UPI,186164.48,2025-06-20
122,122,Debit Card,109766.44,2025-09-04
123,123,UPI,839476.76,2025-03-24
124,124,Net Banking,217069.61,2025-07-08
125,125,Credit Card,839119.42,2024-06-06
126,126,Net Banking,30600.25,2026-07-21
127,127,Credit Card,151734.75,2024-10-05
128,128,Credit Card,261314.04,2025-01-25
129,129,Credit Card,428441.12,2024-04-25
130,130,Debit Card,467720.73,2025-08-22
131,131,Credit Card,312626.3,2025-12-09
132,132,Net Banking,370943.12,2026-02-15
133,133,Wallet,90506.55,2024-04-15
134,134,Net Banking,78466.05,2025-09-09
135,135,Cash on Delivery,55530.92,2025-01-06
136,136,Net Banking,43598.31,2025-11-11
137,137,UPI,725814.62,2025-03-18
138,138,Wallet,719808.07,2024-04-17
139,139,Credit Card,508420.84,2026-05-12
140,140,Wallet,830834.94,2026-07-15
141,141,Credit Card,22515.42,2024-12-02
142,142,Credit Card,380354.03,2024-09-14
143,143,Wallet,232809.35,2024-01-14
144,144,Cash on Delivery,480110.92,2025-05-12
145,145,UPI,675636.66,2024-08-14
146,146,Credit Card,343802.45,2024-09-29
147,147,Cash on Delivery,181130.81,2026-04-26
148,148,UPI,228162.62,2025-09-13
149,149,Net Banking,33533.65,2025-09-13
150,150,UPI,5598.38,2025-11-14
151,151,Cash on Delivery,189513.8,2024-04-20
152,152,Cash on Delivery,250763.17,2025-10-20
153,153,Wallet,439230.36,2024-04-07
154,154,Wallet,563589.15,2024-09-01
155,155,Cash on Delivery,838593.56,2025-12-27
156,156,Credit Card,244044.84,2026-04-14
157,157,Debit Card,414253.58,2024-02-10
158,158,Debit Card,204160.17,2025-03-26
159,159,Wallet,351314.85,2026-06-03
160,160,Net Banking,483464.09,2025-02-12
161,161,Wallet,316364.6,2026-02-01
162,162,Wallet,248397.64,2026-07-18
163,163,Wallet,102650.64,2024-07-04
164,164,Debit Card,407873.27,2024-12-02
165,165,Credit Card,540589.7,2025-02-26
166,166,UPI,423023.01,2025-04-12
167,167,UPI,336643.76,2025-01-02
168,168,Credit Card,269340.48,2024-12-26
169,169,Net Banking,98926.59,2024-10-10
170,170,Wallet,691621.06,2024-11-28
171,171,Debit Card,855598.16,2024-09-26
172,172,Cash on Delivery,719538.29,2024-08-02
173,173,Net Banking,648651.03,2025-07-14
174,174,Credit Card,124503.86,2025-02-14
175,175,Net Banking,686020.1,2026-04-15
176,176,Credit Card,179180.9,2026-05-27
177,177,UPI,234345.0,2025-09-23
178,178,UPI,336197.31,2026-05-06
179,179,Debit Card,125925.8,2026-04-28
180,180,Cash on Delivery,103593.24,2026-01-09
181,181,Credit Card,1331569.62,2024-11-16
182,182,Credit Card,686041.49,2024-07-09
183,183,UPI,414331.06,2024-09-28
184,184,UPI,475206.18,2024-12-25
185,185,Cash on Delivery,71748.79,2026-07-06
186,186,Cash on Delivery,49519.62,2024-06-21
187,187,Net Banking,252521.94,2024-07-13
188,188,Credit Card,688598.09,2025-06-02
189,189,Credit Card,157491.58,2024-10-30
190,190,UPI,156137.36,2024-07-01
191,191,Net Banking,22758.12,2024-03-18
192,192,Wallet,295991.1,2025-12-29
193,193,Debit Card,104461.44,2025-11-10
194,194,Cash on Delivery,205091.76,2024-05-29
195,195,Debit Card,583639.14,2024-12-28
196,196,Wallet,539928.36,2025-01-29
197,197,UPI,683360.38,2026-01-23
198,198,UPI,150466.66,2026-03-28
199,199,Credit Card,658037.97,2024-03-25
200,200,Cash on Delivery,349992.84,2025-03-29
201,201,UPI,318838.64,2025-07-15
202,202,Cash on Delivery,411314.51,2024-01-27
203,203,UPI,327696.32,2025-12-12
204,204,Credit Card,93140.81,2026-06-15
205,205,Wallet,129088.72,2026-04-11
206,206,Net Banking,621854.58,2024-10-30
207,207,Debit Card,449683.46,2026-05-28
208,208,Cash on Delivery,720614.72,2025-03-25
209,209,Debit Card,76319.86,2025-08-04
210,210,Wallet,430628.19,2026-05-18
211,211,UPI,689242.44,2025-10-04
212,212,Wallet,442174.51,2025-01-31
213,213,UPI,243119.06,2026-03-26
214,214,UPI,88896.94,2026-03-31
215,215,Credit Card,383202.14,2025-01-08
216,216,UPI,561606.25,2024-08-28
217,217,Cash on Delivery,619569.88,2024-03-19
218,218,Credit Card,488240.32,2024-11-25
219,219,Debit Card,238136.82,2024-09-09
220,220,UPI,411444.67,2024-05-11
221,221,Wallet,240122.76,2026-03-14
222,222,Debit Card,479585.95,2025-05-02
223,223,UPI,137784.18,2026-04-06
224,224,Cash on Delivery,17957.62,2026-01-07
225,225,UPI,313192.07,2025-10-22
226,226,Net Banking,12566.32,2024-08-17
227,227,UPI,617571.26,2026-05-06
228,228,Credit Card,592043.13,2025-03-24
229,229,Cash on Delivery,151400.18,2024-03-07
230,230,Debit Card,102703.86,2024-01-23
231,231,Net Banking,658755.7,2025-10-27
232,232,UPI,170562.35,2025-05-03
233,233,Net Banking,597706.8,2024-03-06
234,234,Wallet,539580.04,2026-01-06
235,235,Cash on Delivery,256713.31,2026-08-28
236,236,Net Banking,428346.46,2025-12-31
237,237,Cash on Delivery,514716.75,2025-12-22
238,238,Net Banking,28224.12,2025-02-09
239,239,Wallet,661687.26,2024-11-13
240,240,Wallet,266994.84,2024-11-07
241,241,Credit Card,206824.68,2026-03-28
242,242,Credit Card,203065.56,2025-02-20
243,243,UPI,373834.26,2025-11-28
244,244,Debit Card,413858.06,2024-01-07
245,245,Cash on Delivery,346995.74,2025-12-30
246,246,Cash on Delivery,442625.19,2024-05-02
247,247,Cash on Delivery,30931.92,2025-09-20
248,248,Net Banking,297443.2,2026-01-17
249,249,UPI,380820.67,2024-09-11
250,250,Credit Card,831200.23,2026-02-16
251,251,Wallet,466017.67,2024-07-04
252,252,Credit Card,128827.71,2025-05-21
253,253,UPI,384691.2,2024-04-01
254,254,Debit Card,529092.51,2025-08-10
255,255,Credit Card,639363.6,2025-01-31
256,256,Wallet,64570.54,2025-12-14
257,257,Debit Card,366024.26,2024-12-17
258,258,Wallet,59239.52,2024-12-29
259,259,Net Banking,939719.02,2026-06-19
260,260,Debit Card,538709.6,2024-07-07
261,261,Credit Card,937928.23,2024-08-20
262,262,Wallet,680880.54,2025-10-10
263,263,Credit Card,665187.75,2026-02-08
264,264,Debit Card,187126.14,2024-01-21
265,265,Debit Card,198811.58,2025-07-24
266,266,Credit Card,1002323.52,2024-04-07
267,267,UPI,523067.19,2025-06-25
268,268,UPI,897244.8,2025-01-28
269,269,Net Banking,35682.51,2026-07-15
270,270,Debit Card,206012.96,2026-05-29
271,271,UPI,145481.48,2024-07-12
272,272,UPI,1041198.74,2024-07-05
273,273,UPI,145543.85,2024-12-19
274,274,Debit Card,258456.06,2026-07-23
275,275,Net Banking,376525.11,2025-08-10
276,276,UPI,223046.98,2025-12-24
277,277,UPI,146672.23,2024-06-30
278,278,UPI,15998.6,2026-04-18
279,279,Wallet,583375.23,2024-02-09
280,280,Debit Card,238903.02,2026-03-23
281,281,UPI,519179.78,2026-08-14
282,282,Credit Card,880509.81,2024-04-20
283,283,UPI,318072.94,2025-08-27
284,284,Credit Card,296019.08,2024-04-12
285,285,Debit Card,82305.86,2024-06-07
286,286,Debit Card,57003.46,2024-12-11
287,287,Debit Card,247509.15,2025-11-05
288,288,Wallet,146048.25,2026-03-13
289,289,Net Banking,8776.74,2025-11-15
290,290,Cash on Delivery,221670.43,2024-09-09
291,291,Debit Card,208801.5,2026-04-17
292,292,Credit Card,98074.03,2025-02-17
293,293,UPI,388350.88,2026-07-27
294,294,Wallet,464637.16,2026-04-10
295,295,Net Banking,527265.62,2025-12-25
296,296,Credit Card,338733.57,2024-04-11
297,297,Wallet,194045.33,2025-11-10
298,298,Wallet,244563.16,2025-06-23
299,299,Credit Card,145486.5,2025-06-28
300,300,Wallet,502448.86,2025-07-13
301,301,Credit Card,355877.39,2024-11-24
302,302,Cash on Delivery,582165.56,2024-07-21
303,303,Debit Card,563185.36,2025-03-12
304,304,Net Banking,160093.99,2024-03-25
305,305,Wallet,354159.46,2024-04-16
306,306,Net Banking,245255.01,2025-09-16
307,307,Credit Card,854827.42,2026-03-16
308,308,Wallet,332309.67,2025-12-01
309,309,UPI,662281.74,2026-05-01
310,310,Net Banking,31947.08,2024-04-01
311,311,Net Banking,73044.0,2026-02-04
312,312,UPI,468773.75,2024-06-26
313,313,Wallet,669317.03,2024-02-19
314,314,Cash on Delivery,364701.95,2024-11-06
315,315,Cash on Delivery,84935.64,2025-07-04
316,316,Cash on Delivery,141277.8,2025-12-01
317,317,Cash on Delivery,604954.08,2025-06-04
318,318,Cash on Delivery,1045250.13,2025-06-04
319,319,Net Banking,42910.72,2024-02-15
320,320,Wallet,500293.93,2025-04-13
321,321,Cash on Delivery,579621.44,2024-08-14
322,322,Net Banking,152733.91,2026-01-01
323,323,Net Banking,231943.52,2025-08-07
324,324,Net Banking,388357.88,2024-02-16
325,325,Net Banking,133453.0,2026-07-10
326,326,Wallet,99562.38,2024-10-24
327,327,Net Banking,167842.02,2025-11-06
328,328,Debit Card,170970.76,2024-12-04
329,329,UPI,202757.81,2026-04-26
330,330,Credit Card,342918.07,2026-05-07
331,331,Cash on Delivery,734232.34,2024-05-25
332,332,Net Banking,763267.98,2025-11-15
333,333,Net Banking,225559.0,2025-03-08
334,334,Wallet,604374.84,2026-06-03
335,335,UPI,402842.55,2024-07-28
336,336,Credit Card,695746.14,2026-01-24
337,337,Credit Card,595381.07,2025-12-07
338,338,Cash on Delivery,556358.64,2025-02-27
339,339,Cash on Delivery,700117.69,2026-07-11
340,340,UPI,275195.44,2025-05-14
341,341,Cash on Delivery,241080.72,2025-10-03
342,342,Cash on Delivery,904346.74,2025-12-13
343,343,Credit Card,810642.51,2025-11-09
344,344,Cash on Delivery,834446.99,2025-10-14
345,345,Net Banking,283635.28,2026-07-12
346,346,Wallet,64745.0,2024-07-06
347,347,Wallet,242161.11,2026-08-24
348,348,Credit Card,433319.63,2025-11-28
349,349,UPI,226812.02,2025-02-11
350,350,Debit Card,380578.17,2024-10-18
351,351,Cash on Delivery,487631.21,2024-04-21
352,352,Net Banking,663409.56,2026-04-22
353,353,Credit Card,109509.72,2026-08-31
354,354,UPI,161357.28,2025-05-24
355,355,Debit Card,740023.2,2024-02-06
356,356,Debit Card,517529.35,2024-04-24
357,357,UPI,346699.63,2025-02-01
358,358,Cash on Delivery,294799.14,2025-12-11
359,359,Debit Card,428327.4,2025-03-22
360,360,Debit Card,135332.76,2026-01-26
361,361,Debit Card,972429.82,2026-02-26
362,362,Wallet,554384.68,2025-05-30
363,363,Cash on Delivery,257177.44,2026-02-25
364,364,Net Banking,72184.42,2024-02-14
365,365,Cash on Delivery,93241.77,2024-06-05
366,366,UPI,31553.96,2024-09-13
367,367,Wallet,725052.62,2025-04-18
368,368,Wallet,606692.14,2024-02-27
369,369,Net Banking,60758.93,2026-08-27
370,370,Wallet,797694.98,2024-08-18
371,371,Credit Card,266163.62,2024-12-09
372,372,Debit Card,298568.16,2024-01-26
373,373,UPI,48589.98,2026-05-13
374,374,Cash on Delivery,72283.9,2024-10-21
375,375,Cash on Delivery,351676.6,2025-07-14
376,376,Wallet,971471.42,2024-04-24
377,377,UPI,502388.72,2025-06-14
378,378,Net Banking,437999.07,2026-01-07
379,379,Cash on Delivery,244755.66,2024-11-25
380,380,Wallet,973513.69,2026-07-12
381,381,Net Banking,864900.46,2024-01-07
382,382,Debit Card,123629.24,2024-02-29
383,383,Wallet,906353.37,2025-08-03
384,384,Wallet,623187.84,2026-02-19
385,385,UPI,609437.55,2025-07-12
386,386,Credit Card,370596.85,2026-04-23
387,387,Wallet,176270.1,2025-08-08
388,388,Wallet,584113.28,2025-12-03
389,389,UPI,151393.44,2026-07-21
390,390,Debit Card,319428.4,2025-05-17
391,391,Net Banking,193972.58,2025-10-13
392,392,Debit Card,266813.32,2026-07-09
393,393,Cash on Delivery,440355.05,2026-06-19
394,394,Debit Card,31133.58,2024-10-20
395,395,Cash on Delivery,577891.2,2025-02-01
396,396,Credit Card,765258.55,2024-06-13
397,397,Cash on Delivery,4777.38,2025-03-18
398,398,UPI,681245.84,2024-02-13
399,399,Cash on Delivery,744525.02,2026-06-19
400,400,Wallet,440539.81,2025-02-15
401,401,Debit Card,149897.05,2024-12-27
402,402,Credit Card,580134.49,2025-03-07
403,403,Wallet,415155.3,2026-01-21
404,404,Net Banking,108941.87,2025-02-01
405,405,Wallet,211343.94,2024-11-29
406,406,Credit Card,390281.13,2026-01-10
407,407,UPI,192600.38,2024-08-10
408,408,Debit Card,247022.99,2024-07-18
409,409,Debit Card,225349.17,2025-11-06
410,410,Debit Card,328354.54,2026-07-10
411,411,Cash on Delivery,1009.38,2026-02-21
412,412,Credit Card,418058.77,2025-10-21
413,413,Credit Card,361009.95,2024-05-24
414,414,Cash on Delivery,538839.59,2025-10-29
415,415,Credit Card,271270.92,2026-05-02
416,416,Net Banking,168416.85,2025-09-30
417,417,UPI,250593.96,2024-08-10
418,418,Wallet,15704.8,2024-06-09
419,419,Cash on Delivery,248732.78,2025-06-13
420,420,Debit Card,1102560.3,2025-03-29
421,421,Debit Card,486817.99,2025-01-30
422,422,UPI,132554.58,2024-10-06
423,423,Net Banking,392008.58,2025-07-30
424,424,Credit Card,464615.72,2025-02-15
425,425,Cash on Delivery,495613.98,2024-07-21
426,426,Debit Card,826139.91,2025-04-24
427,427,Net Banking,72414.8,2024-05-13
428,428,Net Banking,42891.47,2024-11-19
429,429,UPI,393182.46,2025-09-19
430,430,Credit Card,440699.47,2026-06-15
431,431,UPI,518743.1,2026-03-16
432,432,Wallet,91657.34,2024-01-09
433,433,Net Banking,127939.19,2024-02-24
434,434,Wallet,175966.42,2024-11-16
435,435,UPI,258736.73,2024-07-26
436,436,Debit Card,67462.0,2024-08-06
437,437,Credit Card,645968.18,2025-01-06
438,438,Net Banking,245509.35,2025-08-20
439,439,Cash on Delivery,243600.16,2025-05-01
440,440,Wallet,150448.88,2024-10-23
441,441,Debit Card,1195197.55,2025-07-29
442,442,Credit Card,447134.95,2024-06-04
443,443,UPI,295871.18,2025-06-29
444,444,Wallet,418138.71,2024-06-11
445,445,Debit Card,187121.77,2025-04-25
446,446,Debit Card,734097.18,2025-12-07
447,447,Wallet,111163.68,2024-04-26
448,448,Wallet,203493.39,2026-07-20
449,449,Debit Card,496801.7,2024-02-10
450,450,Wallet,390778.2,2025-04-29
451,451,Debit Card,20306.57,2026-02-24
452,452,Credit Card,513732.72,2026-04-17
453,453,Wallet,518615.91,2025-08-21
454,454,Debit Card,136903.57,2026-07-04
455,455,Debit Card,27434.88,2026-08-27
456,456,Debit Card,15676.4,2026-06-25
457,457,UPI,508864.56,2026-06-26
458,458,Net Banking,146716.41,2024-05-18
459,459,Cash on Delivery,24009.62,2025-02-07
460,460,Wallet,97566.18,2026-08-15
461,461,Cash on Delivery,307916.73,2024-07-20
462,462,Wallet,249076.12,2024-10-26
463,463,Net Banking,408287.79,2026-03-16
464,464,Net Banking,587828.05,2026-03-29
465,465,Net Banking,603250.24,2026-07-01
466,466,Wallet,1046229.47,2025-01-08
467,467,Cash on Delivery,129138.63,2025-06-09
468,468,Cash on Delivery,338948.37,2026-07-14
469,469,Cash on Delivery,340147.78,2024-11-22
470,470,Cash on Delivery,265136.65,2025-10-26
471,471,Credit Card,246362.43,2024-09-26
472,472,Wallet,187761.45,2024-12-11
473,473,Wallet,29013.88,2026-02-16
474,474,Wallet,202982.46,2024-03-23
475,475,Credit Card,566090.54,2024-05-13
476,476,UPI,143472.8,2025-10-01
477,477,UPI,1119953.77,2024-01-20
478,478,Wallet,432944.76,2026-07-15
479,479,UPI,12538.83,2024-02-06
480,480,Net Banking,716973.98,2025-12-14
481,481,Credit Card,174371.52,2026-04-02
482,482,Wallet,471369.39,2025-03-10
483,483,Wallet,26986.9,2024-05-15
484,484,UPI,701595.5,2024-09-24
485,485,Debit Card,539539.34,2024-10-15
486,486,UPI,428426.5,2025-04-05
487,487,Cash on Delivery,580075.7,2026-04-04
488,488,Debit Card,387052.89,2026-06-01
489,489,Net Banking,736126.95,2024-01-24
490,490,UPI,225109.47,2026-02-19
491,491,UPI,333451.4,2024-06-30
492,492,Credit Card,261505.64,2025-08-08
493,493,Debit Card,169766.73,2024-03-30
494,494,Net Banking,186868.47,2026-01-10
495,495,UPI,409277.37,2024-12-15
496,496,Wallet,290120.52,2024-03-13
497,497,Net Banking,37036.32,2026-06-11
498,498,Debit Card,883330.87,2026-06-13
499,499,Wallet,215411.13,2024-04-18
500,500,Net Banking,147790.46,2025-12-22
501,501,Cash on Delivery,336195.55,2026-02-02
502,502,Wallet,73006.05,2024-04-03
503,503,UPI,739904.4,2024-01-04
504,504,Debit Card,165184.9,2024-08-26
505,505,UPI,456659.21,2024-03-22
506,506,UPI,265975.77,2025-06-26
507,507,Wallet,75078.01,2024-07-21
508,508,Debit Card,181244.55,2025-09-11
509,509,Cash on Delivery,37061.31,2024-10-21
510,510,Net Banking,612388.45,2026-06-04
511,511,Net Banking,32184.82,2024-07-08
512,512,Net Banking,488535.79,2024-06-29
513,513,UPI,95294.64,2024-05-27
514,514,Cash on Delivery,639132.3,2024-07-12
515,515,Net Banking,410192.0,2026-02-18
516,516,Debit Card,60274.2,2026-05-18
517,517,Debit Card,398597.47,2024-06-15
518,518,Credit Card,149548.44,2025-08-29
519,519,Net Banking,222870.69,2025-06-02
520,520,Credit Card,294091.38,2025-03-12
521,521,Debit Card,577700.88,2026-01-23
522,522,Debit Card,545188.73,2025-11-01
523,523,Net Banking,530860.98,2024-09-14
524,524,UPI,230939.22,2024-03-07
525,525,Wallet,506964.87,2024-12-18
526,526,Debit Card,6048.0,2025-09-26
527,527,Cash on Delivery,433418.86,2024-03-22
528,528,Cash on Delivery,395687.04,2026-01-03
529,529,Net Banking,454481.8,2025-11-21
530,530,Net Banking,13532.13,2026-02-28
531,531,UPI,287243.23,2025-12-15
532,532,UPI,567115.72,2024-03-08
533,533,UPI,326639.83,2026-05-09
534,534,UPI,373223.4,2026-01-30
535,535,Cash on Delivery,14624.72,2025-05-26
536,536,Net Banking,90509.28,2024-11-16
537,537,Net Banking,547826.33,2024-07-13
538,538,UPI,13356.4,2024-02-13
539,539,Credit Card,377626.41,2025-04-21
540,540,Credit Card,236317.04,2026-08-03
541,541,Credit Card,151060.22,2025-02-16
542,542,Debit Card,219483.85,2025-04-20
543,543,Net Banking,812963.17,2026-01-25
544,544,UPI,477923.11,2026-08-30
545,545,Wallet,647594.58,2026-03-18
546,546,Debit Card,320685.86,2025-10-09
547,547,Wallet,316566.96,2024-01-15
548,548,Debit Card,114975.3,2025-11-08
549,549,Credit Card,158319.48,2025-08-30
550,550,UPI,500485.41,2024-04-07
551,551,Net Banking,21496.2,2024-06-02
552,552,Credit Card,225145.6,2024-01-23
553,553,Credit Card,148967.42,2024-11-06
554,554,Debit Card,387239.69,2025-07-16
555,555,Net Banking,53626.56,2025-05-13
556,556,Wallet,809805.02,2025-03-19
557,557,Net Banking,242817.06,2024-06-12
558,558,Cash on Delivery,126694.83,2024-03-02
559,559,Cash on Delivery,652196.4,2024-03-09
560,560,Cash on Delivery,740968.76,2025-05-03
561,561,Net Banking,290363.88,2024-08-28
562,562,Wallet,201473.6,2026-04-02
563,563,Debit Card,318842.06,2024-01-14
564,564,Cash on Delivery,263572.95,2024-06-11
565,565,Wallet,104502.55,2025-12-01
566,566,UPI,188987.44,2024-05-04
567,567,Credit Card,276736.11,2024-10-15
568,568,Wallet,582005.89,2026-04-06
569,569,UPI,375278.98,2025-01-13
570,570,Debit Card,245451.89,2024-03-05
571,571,Credit Card,600865.94,2025-03-03
572,572,Cash on Delivery,239280.99,2024-11-30
573,573,UPI,551990.8,2026-06-11
574,574,Net Banking,379246.55,2026-07-26
575,575,Net Banking,246838.75,2026-03-16
576,576,Cash on Delivery,202512.13,2025-08-14
577,577,Cash on Delivery,48189.28,2024-07-18
578,578,Wallet,332977.8,2024-11-25
579,579,Cash on Delivery,637278.18,2026-07-22
580,580,Cash on Delivery,193643.08,2025-09-16
581,581,Cash on Delivery,225980.58,2024-09-12
582,582,Credit Card,43299.59,2026-06-30
583,583,Debit Card,165310.0,2026-06-20
584,584,Net Banking,25707.55,2024-05-31
585,585,Cash on Delivery,80526.42,2025-06-25
586,586,Credit Card,431531.4,2026-07-11
587,587,Debit Card,163948.06,2026-01-15
588,588,Net Banking,385720.22,2025-02-02
589,589,UPI,740073.54,2026-02-27
590,590,Debit Card,391747.56,2025-01-07
591,591,Cash on Delivery,788277.38,2025-04-30
592,592,UPI,355954.58,2024-01-04
593,593,UPI,237699.43,2025-09-27
594,594,Wallet,244509.05,2026-03-13
595,595,Credit Card,430844.37,2025-05-11
596,596,UPI,159714.61,2026-06-23
597,597,UPI,752632.75,2026-04-10
598,598,Cash on Delivery,154481.7,2026-08-03
599,599,Net Banking,386208.4,2024-10-29
600,600,Debit Card,168052.04,2026-06-25
601,601,Credit Card,78617.8,2025-05-31
602,602,Credit Card,332494.32,2025-01-20
603,603,Credit Card,83823.64,2026-05-23
604,604,UPI,583650.37,2024-07-28
605,605,Debit Card,911857.72,2024-01-30
606,606,Debit Card,160424.54,2025-03-07
607,607,Wallet,330535.96,2026-03-05
608,608,Net Banking,665645.98,2025-04-02
609,609,Debit Card,668117.94,2024-06-09
610,610,UPI,412693.82,2024-11-17
611,611,Cash on Delivery,170964.2,2025-04-11
612,612,UPI,284886.68,2025-09-13
613,613,Credit Card,184557.96,2025-08-23
614,614,Net Banking,400857.24,2024-01-18
615,615,Debit Card,404654.95,2024-11-30
616,616,Cash on Delivery,658600.14,2024-05-25
617,617,UPI,280617.58,2025-01-19
618,618,Net Banking,251901.05,2025-03-20
619,619,UPI,302080.48,2024-07-01
620,620,UPI,311780.45,2026-02-17
621,621,Credit Card,415009.11,2024-11-27
622,622,Debit Card,15317.83,2024-02-10
623,623,Credit Card,120916.69,2026-01-10
624,624,Net Banking,77935.15,2025-05-23
625,625,Debit Card,602850.89,2024-05-23
626,626,Credit Card,479391.1,2024-06-16
627,627,Wallet,537053.99,2024-04-04
628,628,Credit Card,216563.96,2024-12-31
629,629,Debit Card,366270.94,2024-12-17
630,630,Net Banking,65743.92,2025-02-14
631,631,Wallet,379561.26,2025-03-02
632,632,Net Banking,516055.25,2025-12-12
633,633,Debit Card,261812.83,2024-04-01
634,634,UPI,543888.53,2024-06-11
635,635,Wallet,474839.09,2026-06-08
